Component,S/N,Price/u,Price/ku,Link,Datasheet
Stereo Audio codec,TAC5212,$9.239,$4.574,https://www.ti.com/product/TAC5212?bm-verify=AAQAAAAJ_____-QiEMmWtYGOe09htsZ0tsYPd1ASPK1AAawJ-q5IMuhMacxp12ndbfUcjTFOQuwknFg2n2HgWgb4AB201brRfV_b1TUw19q9pmh7dfw6j6yP1G4YjmUBuQ2F8yNt3xSiaTLRLYxFjyROeuE-uyaLk4rbcT5iPDck--QPzJNLoCVSOrJpX1S_FSS4iJlPZhgYyFTGv0qPUY8wGABFAUKuk4626G0WM7wtRuqUJ8IMZehRDjhlVsv3c-GWf8joWClEwnhDZbiQotjYLE04QxpLvN4MJEOYHz4YDrG0dkPqj3BSyE0WnT1jrA7dHZoyaQk0UCZutkvv2eW_g5pDFfs,https://www.ti.com/lit/ds/symlink/tac5212.pdf?ts=1719015025400&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FTAC5212%253Fbm-verify%253DAAQAAAAJ_____5luzREenDomBMIRAYF9HN7ccle8MlykLz4ahD3BUlU3zH2BHk9uyK2qtlrh7pWCIpOJlAqScKtzQO-9wh5XzH9v16g8q3E_FMQrPfnjnPqP6cHeLtvNce1YbvbzpED5pOpGqo61ZNeBt5PdjF7Rrynt0bBggKNy2vmX69A50-00MHnnVprkr8k3EDiIGzXUDJ6bl5HE-yK006ue-9OC7WPhhTpWgTO7g4rjPS0xOgqzToUM6N3Jczr2pXFNLUXev5BrLmmEGgGtBBor
Boost converter (phantom power),TPS61391,$2.666,$1.320,https://www.ti.com/product/TPS61391/part-details/TPS61391RTER?bm-verify=AAQAAAAJ_____66Bq0Est88NBwe7bOmKelogamjVrXBe4zYQEBc518iDvdO-6Y8tyVuucKAyDu3xMqx5dCgi3k92hxzC76-89qNH4cSoh3XROimyDw7q34jk_LqVTAxPeTXFnzwG0XxlouRo7nuUydF7q_u4vU6xF_FNTzuHdg6aIzjU2ADLSy9ubn5sh6ZitvXhYkBTaLHWZC1yZkL6eJRAcG0NRHyAfGRRRNy8C-eRchEoH5Ny_Dyu6rGqQyBWSokx4e6y2UkTbNOX3bhJ9Zo5SNGFnANmyf5PABW8ThttG0SbQCyf3fhFdFfJKQrbvWqyVIdR9G7vttrP2zZk0K4n0dptLbDNU881MnRt6F6DXf-QT1lvyga40O053glgA9GjCoZWPsRsXNaOUrNPl0TFFiuLuFOTBe8xHmAAzck,https://www.ti.com/lit/ds/symlink/tps61391.pdf?ts=1719091324649&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FTPS61391%253Fbm-verify%253DAAQAAAAJ_____0SiyiRlMxPMFB7rTp9qYhYgIvjAycbHt8K8ZdQkAaoY40_C0cWy3gqkj1JUHx3XWbJaa_dD8r9i0Cxna1YA1chmZQ-Cd-S41ASV-MWnOnSXw2pYpcx8VV0KQ4BuOFXHc1gxC0LzWX1C5Uz10qY4SeUxId69lUnu5ug0SI-CqxpFG3yL4o2jp4L7ComdW1NLR3fwRFGa_pCLUi1eF2yL87h0H02yTxfetzaUEgCvgHBFcGZQuTkmcphm4CpbP-Vc2zTEU2PWwbb7oaYQ1EGwcmfS9mqF3F4Ig1bo-znnG0pMieE0SQ
Linear regulator (phantom power),TL783,$2.970,$1.420,https://www.ti.com/product/TL783?keyMatch=TL783&tisearch=universal_search&usecase=GPN-ALT&login-check=true#order-quality,https://www.ti.com/lit/ds/symlink/tl783.pdf?ts=1726055668075&ref_url=https%253A%252F%252Fapp.ultralibrarian.com%252F
Rasperri Pi Pico,2648-SC0915CT-ND,$4.000,$4.000,https://www.adafruit.com/product/4864,
